X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.156,-0.003,-1.029936831,5.094754188,-5.616588849,-1433,-0.103759766
-0.157,-0.003,-1.098599286,5.232079099,-5.520461412,-1434,-0.244140625
-0.158,-0.003,-1.029936831,5.506728921,-5.547926394,-1434,-0.68359375
-0.159,-0.003,-1.112331777,5.218346608,-5.534193903,-1433,-0.885009766
-0.16,-0.003,-1.098599286,5.177149135,-5.534193903,-1434,-0.567626953
-0.161,-0.003,-1.098599286,5.218346608,-5.589123867,-1433,-0.274658203
-0.162,-0.003,-1.071134304,5.506728921,-5.575391376,-1432,0.018310547
-0.163,-0.003,-1.098599286,5.094754188,-5.520461412,-1433,0.439453125
-0.164,-0.003,-1.071134304,5.012359242,-5.589123867,-1434,0.506591797
-0.165,-0.003,-1.098599286,5.218346608,-5.506728921,-1434,0.659179688
-0.166,-0.003,-1.098599286,5.273276572,-5.575391376,-1434,0.48828125
-0.167,-0.003,-1.126064268,5.026091733,-5.506728921,-1434,0.213623047
-0.168,-0.003,-1.084866795,4.916231804,-5.575391376,-1435,0.054931641
-0.169,-0.003,-1.126064268,5.039824224,-5.547926394,-1433,-0.207519531
-0.17,-0.003,-1.084866795,5.273276572,-5.547926394,-1433,0
-0.171,-0.003,-1.098599286,4.957429278,-5.547926394,-1433,0.256347656
-0.17,-0.003,-1.139796759,4.73770942,-5.49299643,-1432,0.494384766
-0.172,-0.003,-1.098599286,4.943696787,-5.561658885,-1433,0.48828125
-0.173,-0.003,-1.139796759,5.232079099,-5.547926394,-1433,0.030517578
-0.174,-0.003,-1.126064268,4.98489426,-5.49299643,-1434,-0.463867188
-0.175,-0.003,-1.126064268,4.943696787,-5.561658885,-1433,-0.848388672
-0.176,-0.003,-1.139796759,5.039824224,-5.479263938,-1433,-1.019287109
-0.178,-0.005,-1.180994232,5.396868992,-5.341939028,-1432,-0.87890625
-0.179,-0.004,-1.167261741,4.98489426,-5.451798956,-1432,-0.610351563
-0.18,-0.004,-1.194726723,5.053556715,-5.410601483,-1432,-0.531005859
-0.181,-0.003,-1.139796759,5.287009063,-5.534193903,-1432,-0.244140625
-0.182,-0.003,-1.167261741,5.259544081,-5.561658885,-1433,-0.189208984
-0.183,-0.003,-1.098599286,5.053556715,-5.49299643,-1433,-0.329589844
-0.184,-0.003,-1.139796759,5.149684153,-5.451798956,-1434,-0.256347656
-0.185,-0.005,-1.126064268,5.424333974,-5.232079099,-1433,-0.634765625
-0.186,-0.004,-1.126064268,5.24581159,-5.36940401,-1433,-0.726318359
-0.187,-0.004,-1.126064268,5.135951662,-5.383136501,-1433,-0.78125
-0.188,-0.004,-1.167261741,5.328206537,-5.479263938,-1432,-0.738525391
-0.189,-0.003,-1.098599286,5.465531447,-5.520461412,-1433,-0.036621094
-0.19,-0.003,-1.112331777,5.204614117,-5.506728921,-1432,-0.006103516
-0.191,-0.003,-1.112331777,5.273276572,-5.451798956,-1432,-0.225830078
-0.193,-0.003,-1.057401813,5.589123867,-5.410601483,-1433,-0.305175781
-0.194,-0.003,-1.112331777,5.520461412,-5.424333974,-1434,-0.787353516
-0.195,-0.005,-1.098599286,5.328206537,-5.177149135,-1434,-1.141357422
-0.196,-0.004,-1.126064268,5.602856358,-5.314474046,-1433,-1.159667969
-0.197,-0.004,-1.112331777,5.726448778,-5.396868992,-1432,-1.055908203
-0.198,-0.003,-1.098599286,5.451798956,-5.479263938,-1432,-0.750732422
-0.199,-0.003,-1.126064268,5.534193903,-5.465531447,-1432,-0.317382813
-0.201,-0.003,-1.029936831,5.863773689,-5.410601483,-1433,-0.085449219
-0.202,-0.005,-1.098599286,5.740181269,-5.135951662,-1433,0.079345703
-0.203,-0.004,-1.084866795,5.520461412,-5.287009063,-1434,-0.128173828
-0.204,-0.004,-1.071134304,5.781378742,-5.232079099,-1434,0.231933594
-0.205,-0.004,-1.071134304,5.808843724,-5.341939028,-1434,0.054931641
-0.206,-0.004,-1.071134304,5.561658885,-5.259544081,-1434,-0.006103516
-0.207,-0.003,-1.098599286,5.561658885,-5.451798956,-1434,0.036621094
-0.208,-0.003,-1.126064268,5.712716287,-5.410601483,-1433,0.317382813
